m gen time
6 66 7.607
6 295 8.927
6 80 9.677
6 81 8.422
7 27 21.707
6 35 11.94
6 52 19.774
6 54 19.388
6 67 19.545
6 54 19.703
7 58 25.568
6 44 19.803
6 36 19.119
6 85 12.971
6 35 16.451
7 35 28.475
6 50 23.097
6 113 24.063
6 40 22.668
7 20 27.693
6 37 23.652
6 243 26.863
6 58 23.291
6 77 23.939
6 119 24.507
6 77 23.434
6 60 23.383
6 110 24.161
6 101 24.24
6 45 23.248
6 131 11.501
6 86 7.822
6 114 16.812
6 123 20.578
6 74 19.919
6 46 19.616
6 43 19.592
6 28 19.378
6 100 20.266
6 152 21.156
6 77 11.223
6 25 19.18
6 61 19.641
6 95 20.22
6 55 19.719
6 169 21.026
6 129 20.785
6 41 19.791
6 95 20.076
6 71 19.951
6 48 12.445
6 117 16.888
6 49 31.621
6 35 31.426
6 46 32.215
6 190 34.327
6 93 31.915
6 25 31.042
6 68 31.804
6 43 31.364
6 33 5.821
6 245 14.232
6 53 15.51
6 118 16.055
6 112 15.757
6 61 15.135
6 47 14.997
6 173 16.43
6 54 15.025
6 47 15.045
7 37 6.755
6 30 8.615
6 52 7.438
6 266 8.882
6 53 10.681
7 62 18.318
7 35 17.741
6 138 15.979
6 17 14.267
6 40 14.324
7 54 11.981
6 34 15.361
6 70 15.831
6 117 16.343
6 30 15.302
6 37 15.73
6 70 15.395
6 17 14.797
6 93 15.662
6 284 17.797
6 67 10.502
6 110 15.64
6 173 16.411
6 177 16.423
6 136 16.149
6 39 14.831
7 17 18.276
6 56 15.073
7 55 18.539
6 96 15.631
