min gen time(seconds)
4 41 3.026
4 84 3.26
4 382 4.259
4 118 3.338
4 376 4.181
4 40 2.995
4 42 2.995
4 36 2.964
4 67 3.089
4 192 3.51
4 31 2.995
4 148 3.37
4 37 2.98
4 38 3.026
4 40 3.011
4 64 3.214
4 32 2.933
4 71 3.104
4 34 2.98
4 333 4.04
4 185 3.603
4 66 3.308
5 44 5.007
4 62 3.12
4 63 3.199
4 57 3.181
4 52 3.311
4 44 3.136
4 170 3.635
4 54 3.135
5 30 4.977
5 22 4.749
5 20 4.528
4 105 3.344
5 18 4.509
5 23 4.556
5 80 5.283
4 46 6.95
4 48 3.413
4 54 3.342
4 332 4.2
4 118 3.54
4 73 3.22
5 24 4.71
4 330 4.39
4 39 3.13
4 45 3.1
4 55 3.13
4 124 3.42
4 84 3.31
4 248 3.96
4 389 4.37
5 30 4.53
4 206 3.7
4 53 3.13
4 23 3.05
4 58 3.21
4 62 3.23
4 64 3.24
5 31 4.53
4 132 3.45
5 14 4.5
4 140 3.47
4 62 3.27
4 42 3.359
4 30 3.07
4 78 3.35
4 81 3.425
4 98 3.505
4 35 3.24
4 47 3.45
4 217 3.84
4 162 3.57
5 67 4.78
4 396 4.51
5 61 4.74
4 20 3.08
5 156 5.08
4 82 3.3
4 32 3.13
4 94 2.87
5 44 3.98
4 319 3.53
4 316 3.54
4 28 2.66
5 37 4.671
4 76 2.832
5 40 4.191
4 52 2.74
5 36 4.02
4 62 2.78
4 382 3.81
5 16 3.89
4 147 3.05
4 44 2.77
5 38 3.92
4 241 3.23
4 126 2.9
4 29 2.63
4 212 3.2
4 155 3.02
5 55 3.93
4 206 3.14
5 46 3.93
5 19 3.89
4 184 3.13
4 64 2.75
5 20 3.85
4 159 3.01
5 41 3.93
5 47 3.97
4 70 2.79
4 79 2.83
4 282 3.54
5 35 3.96
4 26 2.66
4 195 3.1
5 54 3.97
4 23 2.64
4 93 2.82
