min gen time
6 128 17.6
7 124 16.68
6 137 13.75
6 79 13.32
6 104 13.51
6 143 13.77
6 170 13.98
6 130 13.65
6 227 14.51
6 475 16.56
6 140 13.9
6 155 13.88
6 158 13.96
6 328 15.08
6 101 13.33
6 130 13.69
7 107 16.42
6 81 13.17
6 86 13.48
6 115 13.67
6 144 11.09
6 159 12.339
6 105 10.77
6 178 11.21
6 187 11.38
6 139 11.23
6 196 11.51
6 288 13.485
6 125 12.277
6 120 12.504
6 133 11.25
6 180 11.41
6 241 11.74
6 200 11.55
6 104 10.79
6 149 11.05
6 111 10.88
6 178 11.21
6 104 10.78
6 132 11.02
6 79 10.77
6 175 11.43
6 97 10.92
7 155 13.89
6 130 10.932
6 166 11.03
6 83 10.59
6 106 10.85
6 205 11.52
6 79 10.73
6 136 12.98
7 91 17.79
6 286 12.25
6 231 12.45
7 134 14.61
6 125 11.462
6 107 11.28
6 164 11.29
6 124 11.04
6 207 11.54
7 113 14.21
7 63 14.388
6 102 10.76
6 220 11.66
6 97 10.76
7 57 13.17
6 193 11.59
6 359 12.56
6 160 11.38
6 98 10.69
6 161 11.12
6 212 11.43
7 98 13.24
6 78 10.61
6 93 10.66
6 285 11.86
6 64 10.5
6 113 10.72
6 143 10.94
6 127 10.81
6 217 11.44
6 156 10.96
6 159 11.02
6 182 11.28
6 89 10.67
6 102 10.71
6 294 11.85
6 137 10.86
7 101 13.08
6 95 10.62
6 162 11.35
7 85 13.36
6 183 11.24
6 123 10.85
6 170 11.11
7 123 13.28
6 135 10.94
6 165 11.41
6 229 11.99
6 144 11.45
